11:21:10 - 開始處理語言: zh-MO (包容關係相容版本)
11:21:10 - 跳過空白替換結果 - 培訓機構: 複製公告內容到其他課程。教師或助教編輯、刪除本公告時，不會同時異動其他課程中的公告
11:21:10 - 調試信息 - 敏感詞分類: 師資相關
11:21:10 - PO 更新 - 企業: 科目代碼 → 2字錯的科目代碼
11:21:10 - 跳過空白替換結果 - 公部門: 科目代碼
11:21:10 - 跳過空白替換結果 - 培訓機構: 科目代碼
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 進階式課程適用於有清晰的章節結構，課程內容較為復雜，學習時程較長的課程，這類課程將大量復雜的內容以巧妙的結構組織起來，方便學生系統性、有計劃地進行學習。
11:21:10 - 跳過空白替換結果 - 公部門: 進階式課程適用於有清晰的章節結構，課程內容較為復雜，學習時程較長的課程，這類課程將大量復雜的內容以巧妙的結構組織起來，方便學生系統性、有計劃地進行學習。
11:21:10 - 跳過空白替換結果 - 培訓機構: 進階式課程適用於有清晰的章節結構，課程內容較為復雜，學習時程較長的課程，這類課程將大量復雜的內容以巧妙的結構組織起來，方便學生系統性、有計劃地進行學習。
11:21:10 - 調試信息 - 敏感詞分類: 師資相關
11:21:10 - PO 更新 - 企業: 由教務系統匯入的課程或者教師新建的課程，皆預設為一般課程。 → 由2字錯的系統匯入的課程或者教師新建的課程，皆預設為一般課程。
11:21:10 - 跳過空白替換結果 - 公部門: 由教務系統匯入的課程或者教師新建的課程，皆預設為一般課程。
11:21:10 - 跳過空白替換結果 - 培訓機構: 由教務系統匯入的課程或者教師新建的課程，皆預設為一般課程。
11:21:10 - 調試信息 - 敏感詞分類: 師資相關
11:21:10 - 跳過空白替換結果 - 企業: 樣板課程非正式課程，功用是作為標準課程的模板。教師於樣板課程中編制完課程內容後，可複製內容至自己教授的其他課程中。
11:21:10 - 跳過空白替換結果 - 公部門: 樣板課程非正式課程，功用是作為標準課程的模板。教師於樣板課程中編制完課程內容後，可複製內容至自己教授的其他課程中。
11:21:10 - 跳過空白替換結果 - 培訓機構: 樣板課程非正式課程，功用是作為標準課程的模板。教師於樣板課程中編制完課程內容後，可複製內容至自己教授的其他課程中。
11:21:10 - 調試信息 - 敏感詞分類: 師資相關
11:21:10 - PO 更新 - 企業: 供系統管理員與教務人員測試用的課程。 → 供系統管理員與這是對的測試用的科目。
11:21:10 - 跳過空白替換結果 - 公部門: 供系統管理員與教務人員測試用的課程。
11:21:10 - 跳過空白替換結果 - 培訓機構: 供系統管理員與教務人員測試用的課程。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 尚無學生加入此課程
11:21:10 - 跳過空白替換結果 - 公部門: 尚無學生加入此課程
11:21:10 - 跳過空白替換結果 - 培訓機構: 尚無學生加入此課程
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 學生看到的課程效果
11:21:10 - 跳過空白替換結果 - 公部門: 學生看到的課程效果
11:21:10 - 跳過空白替換結果 - 培訓機構: 學生看到的課程效果
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 預覽功能可以看到學生瀏覽課程的效果，您可以查看並以此在返回后去調整課程資訊。
11:21:10 - 跳過空白替換結果 - 公部門: 預覽功能可以看到學生瀏覽課程的效果，您可以查看並以此在返回后去調整課程資訊。
11:21:10 - 跳過空白替換結果 - 培訓機構: 預覽功能可以看到學生瀏覽課程的效果，您可以查看並以此在返回后去調整課程資訊。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 老師可以根據教學策略創建不同的分組方案，將課程的學生劃分為若干小組，實現不同場景使用不同分組方案，快來試試看吧!
11:21:10 - 跳過空白替換結果 - 公部門: 老師可以根據教學策略創建不同的分組方案，將課程的學生劃分為若干小組，實現不同場景使用不同分組方案，快來試試看吧!
11:21:10 - 跳過空白替換結果 - 培訓機構: 老師可以根據教學策略創建不同的分組方案，將課程的學生劃分為若干小組，實現不同場景使用不同分組方案，快來試試看吧!
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 該課程的學生還沒有任何分組
11:21:10 - 跳過空白替換結果 - 公部門: 該課程的學生還沒有任何分組
11:21:10 - 跳過空白替換結果 - 培訓機構: 該課程的學生還沒有任何分組
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 查看小組
11:21:10 - 跳過空白替換結果 - 公部門: 查看小組
11:21:10 - 跳過空白替換結果 - 培訓機構: 查看小組
11:21:10 - 調試信息 - 敏感詞分類: 師資相關
11:21:10 - 跳過空白替換結果 - 企業: 是否確認設置助教？
11:21:10 - 跳過空白替換結果 - 公部門: 是否確認設置助教？
11:21:10 - 跳過空白替換結果 - 培訓機構: 是否確認設置助教？
11:21:10 - 調試信息 - 敏感詞分類: 師資相關
11:21:10 - 跳過空白替換結果 - 企業: 助教設置成功
11:21:10 - 跳過空白替換結果 - 公部門: 助教設置成功
11:21:10 - 跳過空白替換結果 - 培訓機構: 助教設置成功
11:21:10 - 調試信息 - 敏感詞分類: 時間相關
11:21:10 - 跳過空白替換結果 - 企業: semester_info.academic_year.suffix
11:21:10 - 跳過空白替換結果 - 公部門: semester_info.academic_year.suffix
11:21:10 - 跳過空白替換結果 - 培訓機構: semester_info.academic_year.suffix
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 不再是單向的知識灌輸，讓學生成為學習的主體，影音簡報、分組學習、互評，樣樣精彩。
11:21:10 - 跳過空白替換結果 - 公部門: 不再是單向的知識灌輸，讓學生成為學習的主體，影音簡報、分組學習、互評，樣樣精彩。
11:21:10 - 跳過空白替換結果 - 培訓機構: 不再是單向的知識灌輸，讓學生成為學習的主體，影音簡報、分組學習、互評，樣樣精彩。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
11:21:10 - 跳過空白替換結果 - 公部門: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
11:21:10 - 跳過空白替換結果 - 培訓機構: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
11:21:10 - 跳過空白替換結果 - 公部門: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
11:21:10 - 跳過空白替換結果 - 培訓機構: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
11:21:10 - 跳過空白替換結果 - 公部門: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
11:21:10 - 跳過空白替換結果 - 培訓機構: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 随时随地与老师和同学发起聊天，享受便捷、快速、轻松的沟通，还可以查看历史聊天记录。
11:21:10 - 跳過空白替換結果 - 公部門: 随时随地与老师和同学发起聊天，享受便捷、快速、轻松的沟通，还可以查看历史聊天记录。
11:21:10 - 跳過空白替換結果 - 培訓機構: 随时随地与老师和同学发起聊天，享受便捷、快速、轻松的沟通，还可以查看历史聊天记录。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 老师可以查看学生的作业列表和繳交状态，学生的作业内容、附件以及成绩；查看作业批改情况；可以查看作业属性信息。
11:21:10 - 跳過空白替換結果 - 公部門: 老师可以查看学生的作业列表和繳交状态，学生的作业内容、附件以及成绩；查看作业批改情况；可以查看作业属性信息。
11:21:10 - 跳過空白替換結果 - 培訓機構: 老师可以查看学生的作业列表和繳交状态，学生的作业内容、附件以及成绩；查看作业批改情况；可以查看作业属性信息。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 老师可以查看学生的作业列表和繳交状态，学生的作业内容、附件以及成绩；查看作业批改情况；可以查看作业属性信息。
11:21:10 - 跳過空白替換結果 - 公部門: 老师可以查看学生的作业列表和繳交状态，学生的作业内容、附件以及成绩；查看作业批改情况；可以查看作业属性信息。
11:21:10 - 跳過空白替換結果 - 培訓機構: 老师可以查看学生的作业列表和繳交状态，学生的作业内容、附件以及成绩；查看作业批改情况；可以查看作业属性信息。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 轻松管理班级作业
11:21:10 - 跳過空白替換結果 - 公部門: 轻松管理班级作业
11:21:10 - 跳過空白替換結果 - 培訓機構: 轻松管理班级作业
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 学生可以通过手机拍照或者选取相册照片作为附件来交作业，增加了交作业的灵活性，适应课堂教学和户外教学等场景。
11:21:10 - 跳過空白替換結果 - 公部門: 学生可以通过手机拍照或者选取相册照片作为附件来交作业，增加了交作业的灵活性，适应课堂教学和户外教学等场景。
11:21:10 - 跳過空白替換結果 - 培訓機構: 学生可以通过手机拍照或者选取相册照片作为附件来交作业，增加了交作业的灵活性，适应课堂教学和户外教学等场景。
11:21:10 - 調試信息 - 敏感詞分類: 師資相關
11:21:10 - PO 更新 - 企業: 人事院系、课程选课等信息接入TronClass平台，提供无缝平滑的数据对接。成绩自动上报教务系统，采用灵活的同步方式（数据库、API）和同步机制（定时同步、实时同步）。 → 人事課程、科目選課等訊息接入TronClass平台，提供無縫平滑的資料對接。成績自動上傳2字錯的系統，採用靈活的同步方式（資料庫、API）和同步機制（定時同步、即時同步）。
11:21:10 - 跳過空白替換結果 - 公部門: 人事院系、课程选课等信息接入TronClass平台，提供无缝平滑的数据对接。成绩自动上报教务系统，采用灵活的同步方式（数据库、API）和同步机制（定时同步、实时同步）。
11:21:10 - 跳過空白替換結果 - 培訓機構: 人事院系、课程选课等信息接入TronClass平台，提供无缝平滑的数据对接。成绩自动上报教务系统，采用灵活的同步方式（数据库、API）和同步机制（定时同步、实时同步）。
11:21:10 - 調試信息 - 敏感詞分類: 師資相關
11:21:10 - PO 更新 - 企業: 基础教务管理 → 基礎2字錯的管理
11:21:10 - 跳過空白替換結果 - 公部門: 基础教务管理
11:21:10 - 跳過空白替換結果 - 培訓機構: 基础教务管理
11:21:10 - 調試信息 - 敏感詞分類: 師資相關
11:21:10 - PO 更新 - 企業: 教务人员可以对院系、人员和课程等进行统一的管理，随时了解人员基本信息和修课情况并及时发出提醒，还可以协助老师完成公告发布，大纲录入等工作。 → 這是對的可以對課程、人員和科目等進行統一的管理，隨時了解人員基本訊息和修課情況並及時發出提醒，還可以協助老師完成公告發布，大綱輸入等工作。
11:21:10 - 跳過空白替換結果 - 公部門: 教务人员可以对院系、人员和课程等进行统一的管理，随时了解人员基本信息和修课情况并及时发出提醒，还可以协助老师完成公告发布，大纲录入等工作。
11:21:10 - 跳過空白替換結果 - 培訓機構: 教务人员可以对院系、人员和课程等进行统一的管理，随时了解人员基本信息和修课情况并及时发出提醒，还可以协助老师完成公告发布，大纲录入等工作。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: iLesson课堂录播系统将课堂的过程自动录制下来上传到云端，可以辅助学生回顾课堂内容，复习知识，还可以未能加入课程的学生一个重温课堂学习的机会。
11:21:10 - 跳過空白替換結果 - 公部門: iLesson课堂录播系统将课堂的过程自动录制下来上传到云端，可以辅助学生回顾课堂内容，复习知识，还可以未能加入课程的学生一个重温课堂学习的机会。
11:21:10 - 跳過空白替換結果 - 培訓機構: iLesson课堂录播系统将课堂的过程自动录制下来上传到云端，可以辅助学生回顾课堂内容，复习知识，还可以未能加入课程的学生一个重温课堂学习的机会。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: iLesson课堂录播系统将课堂的过程自动录制下来上传到云端，可以辅助学生回顾课堂内容，复习知识，还可以未能加入课程的学生一个重温课堂学习的机会。
11:21:10 - 跳過空白替換結果 - 公部門: iLesson课堂录播系统将课堂的过程自动录制下来上传到云端，可以辅助学生回顾课堂内容，复习知识，还可以未能加入课程的学生一个重温课堂学习的机会。
11:21:10 - 跳過空白替換結果 - 培訓機構: iLesson课堂录播系统将课堂的过程自动录制下来上传到云端，可以辅助学生回顾课堂内容，复习知识，还可以未能加入课程的学生一个重温课堂学习的机会。
11:21:10 - 調試信息 - 敏感詞分類: 師資相關
11:21:10 - PO 更新 - 企業: 教师的所有历史教学数据都透明可见，教务人员可以实时跟踪所有课程、老师、学生的情况，方便及时发现教学过程中的问题并为教学评鉴提供事实依据。 → 教師的所有歷史教學數據都透明可見，這是對的可以即時追蹤所有科目、老師、學生的情況，方便即時發現教學過程中的問題並為教學評鑑提供事實依據。
11:21:10 - 跳過空白替換結果 - 公部門: 教师的所有历史教学数据都透明可见，教务人员可以实时跟踪所有课程、老师、学生的情况，方便及时发现教学过程中的问题并为教学评鉴提供事实依据。
11:21:10 - 跳過空白替換結果 - 培訓機構: 教师的所有历史教学数据都透明可见，教务人员可以实时跟踪所有课程、老师、学生的情况，方便及时发现教学过程中的问题并为教学评鉴提供事实依据。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 教师的所有历史教学数据都透明可见，教务人员可以实时跟踪所有课程、老师、学生的情况，方便及时发现教学过程中的问题并为教学评鉴提供事实依据。
11:21:10 - 跳過空白替換結果 - 公部門: 教师的所有历史教学数据都透明可见，教务人员可以实时跟踪所有课程、老师、学生的情况，方便及时发现教学过程中的问题并为教学评鉴提供事实依据。
11:21:10 - 跳過空白替換結果 - 培訓機構: 教师的所有历史教学数据都透明可见，教务人员可以实时跟踪所有课程、老师、学生的情况，方便及时发现教学过程中的问题并为教学评鉴提供事实依据。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
11:21:10 - 跳過空白替換結果 - 公部門: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
11:21:10 - 跳過空白替換結果 - 培訓機構: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
11:21:10 - 跳過空白替換結果 - 公部門: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
11:21:10 - 跳過空白替換結果 - 培訓機構: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
11:21:10 - 跳過空白替換結果 - 公部門: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
11:21:10 - 跳過空白替換結果 - 培訓機構: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 老师创建和管理互动课堂，即可让学生通过在手机上完成随堂测等课堂互动活动，有效提升参与度，老师也可以及时掌握学生学习情况，及时改善教学。
11:21:10 - 跳過空白替換結果 - 公部門: 老师创建和管理互动课堂，即可让学生通过在手机上完成随堂测等课堂互动活动，有效提升参与度，老师也可以及时掌握学生学习情况，及时改善教学。
11:21:10 - 跳過空白替換結果 - 培訓機構: 老师创建和管理互动课堂，即可让学生通过在手机上完成随堂测等课堂互动活动，有效提升参与度，老师也可以及时掌握学生学习情况，及时改善教学。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 老师创建和管理互动课堂，即可让学生通过在手机上完成随堂测等课堂互动活动，有效提升参与度，老师也可以及时掌握学生学习情况，及时改善教学。
11:21:10 - 跳過空白替換結果 - 公部門: 老师创建和管理互动课堂，即可让学生通过在手机上完成随堂测等课堂互动活动，有效提升参与度，老师也可以及时掌握学生学习情况，及时改善教学。
11:21:10 - 跳過空白替換結果 - 培訓機構: 老师创建和管理互动课堂，即可让学生通过在手机上完成随堂测等课堂互动活动，有效提升参与度，老师也可以及时掌握学生学习情况，及时改善教学。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 学生和老师可以在课程讨论区自由发表帖子和回复帖子，方便进行教学互动，增强师生间的沟通，丰富教学形式。
11:21:10 - 跳過空白替換結果 - 公部門: 学生和老师可以在课程讨论区自由发表帖子和回复帖子，方便进行教学互动，增强师生间的沟通，丰富教学形式。
11:21:10 - 跳過空白替換結果 - 培訓機構: 学生和老师可以在课程讨论区自由发表帖子和回复帖子，方便进行教学互动，增强师生间的沟通，丰富教学形式。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 用带摄像头的笔记本就可以录制微课视频和微课作业，让知识的传递形式更加生动，利于学生更好地理解和掌握知识。
11:21:10 - 跳過空白替換結果 - 公部門: 用带摄像头的笔记本就可以录制微课视频和微课作业，让知识的传递形式更加生动，利于学生更好地理解和掌握知识。
11:21:10 - 跳過空白替換結果 - 培訓機構: 用带摄像头的笔记本就可以录制微课视频和微课作业，让知识的传递形式更加生动，利于学生更好地理解和掌握知识。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 作为学习平台的一项基本功能，在线测试帮助老师快速完成试卷的编写和管理，学生答完题交付后即可快速计算出客观题得分，减轻老师负担，让学生可以及时获得学习效果的反馈。
11:21:10 - 跳過空白替換結果 - 公部門: 作为学习平台的一项基本功能，在线测试帮助老师快速完成试卷的编写和管理，学生答完题交付后即可快速计算出客观题得分，减轻老师负担，让学生可以及时获得学习效果的反馈。
11:21:10 - 跳過空白替換結果 - 培訓機構: 作为学习平台的一项基本功能，在线测试帮助老师快速完成试卷的编写和管理，学生答完题交付后即可快速计算出客观题得分，减轻老师负担，让学生可以及时获得学习效果的反馈。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 作为学习平台的一项基本功能，在线测试帮助老师快速完成试卷的编写和管理，学生答完题交付后即可快速计算出客观题得分，减轻老师负担，让学生可以及时获得学习效果的反馈。
11:21:10 - 跳過空白替換結果 - 公部門: 作为学习平台的一项基本功能，在线测试帮助老师快速完成试卷的编写和管理，学生答完题交付后即可快速计算出客观题得分，减轻老师负担，让学生可以及时获得学习效果的反馈。
11:21:10 - 跳過空白替換結果 - 培訓機構: 作为学习平台的一项基本功能，在线测试帮助老师快速完成试卷的编写和管理，学生答完题交付后即可快速计算出客观题得分，减轻老师负担，让学生可以及时获得学习效果的反馈。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 老师可以布置线上交付、纸本交付和微课交付三种类型的作业给学生，查看学生的作业内容和附件，并通过手动打分或Rubric打分的方式在线批改作业和写评语。
11:21:10 - 跳過空白替換結果 - 公部門: 老师可以布置线上交付、纸本交付和微课交付三种类型的作业给学生，查看学生的作业内容和附件，并通过手动打分或Rubric打分的方式在线批改作业和写评语。
11:21:10 - 跳過空白替換結果 - 培訓機構: 老师可以布置线上交付、纸本交付和微课交付三种类型的作业给学生，查看学生的作业内容和附件，并通过手动打分或Rubric打分的方式在线批改作业和写评语。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 老师可以布置线上交付、纸本交付和微课交付三种类型的作业给学生，查看学生的作业内容和附件，并通过手动打分或Rubric打分的方式在线批改作业和写评语。
11:21:10 - 跳過空白替換結果 - 公部門: 老师可以布置线上交付、纸本交付和微课交付三种类型的作业给学生，查看学生的作业内容和附件，并通过手动打分或Rubric打分的方式在线批改作业和写评语。
11:21:10 - 跳過空白替換結果 - 培訓機構: 老师可以布置线上交付、纸本交付和微课交付三种类型的作业给学生，查看学生的作业内容和附件，并通过手动打分或Rubric打分的方式在线批改作业和写评语。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 公平公正的评量原则与评量工具，采用行与列组成各项评量标准，能有效增进评量成效。除了让学生们了解教师的评量标准外，也协助学生学习评量自我的学习成果并有针对性地进行改进，带给使用者一番崭新的教学评量体验。
11:21:10 - 跳過空白替換結果 - 公部門: 公平公正的评量原则与评量工具，采用行与列组成各项评量标准，能有效增进评量成效。除了让学生们了解教师的评量标准外，也协助学生学习评量自我的学习成果并有针对性地进行改进，带给使用者一番崭新的教学评量体验。
11:21:10 - 跳過空白替換結果 - 培訓機構: 公平公正的评量原则与评量工具，采用行与列组成各项评量标准，能有效增进评量成效。除了让学生们了解教师的评量标准外，也协助学生学习评量自我的学习成果并有针对性地进行改进，带给使用者一番崭新的教学评量体验。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 公平公正的评量原则与评量工具，采用行与列组成各项评量标准，能有效增进评量成效。除了让学生们了解教师的评量标准外，也协助学生学习评量自我的学习成果并有针对性地进行改进，带给使用者一番崭新的教学评量体验。
11:21:10 - 跳過空白替換結果 - 公部門: 公平公正的评量原则与评量工具，采用行与列组成各项评量标准，能有效增进评量成效。除了让学生们了解教师的评量标准外，也协助学生学习评量自我的学习成果并有针对性地进行改进，带给使用者一番崭新的教学评量体验。
11:21:10 - 跳過空白替換結果 - 培訓機構: 公平公正的评量原则与评量工具，采用行与列组成各项评量标准，能有效增进评量成效。除了让学生们了解教师的评量标准外，也协助学生学习评量自我的学习成果并有针对性地进行改进，带给使用者一番崭新的教学评量体验。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 详细记录学生的学习活动参与情况如视频观看、论坛活跃度、教材下载和阅读、作业交付、成绩分布等，随时掌握学生的学习进度，方便指导改进。
11:21:10 - 跳過空白替換結果 - 公部門: 详细记录学生的学习活动参与情况如视频观看、论坛活跃度、教材下载和阅读、作业交付、成绩分布等，随时掌握学生的学习进度，方便指导改进。
11:21:10 - 跳過空白替換結果 - 培訓機構: 详细记录学生的学习活动参与情况如视频观看、论坛活跃度、教材下载和阅读、作业交付、成绩分布等，随时掌握学生的学习进度，方便指导改进。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 详细记录学生的学习活动参与情况如视频观看、论坛活跃度、教材下载和阅读、作业交付、成绩分布等，随时掌握学生的学习进度，方便指导改进。
11:21:10 - 跳過空白替換結果 - 公部門: 详细记录学生的学习活动参与情况如视频观看、论坛活跃度、教材下载和阅读、作业交付、成绩分布等，随时掌握学生的学习进度，方便指导改进。
11:21:10 - 跳過空白替換結果 - 培訓機構: 详细记录学生的学习活动参与情况如视频观看、论坛活跃度、教材下载和阅读、作业交付、成绩分布等，随时掌握学生的学习进度，方便指导改进。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 整合Youtube、优酷等影音服务，整合微信、微博、Facebook等社群服务，同时支持老师和同学之间的聊天、讨论等活动，满足社交化学习需求。
11:21:10 - 跳過空白替換結果 - 公部門: 整合Youtube、优酷等影音服务，整合微信、微博、Facebook等社群服务，同时支持老师和同学之间的聊天、讨论等活动，满足社交化学习需求。
11:21:10 - 跳過空白替換結果 - 培訓機構: 整合Youtube、优酷等影音服务，整合微信、微博、Facebook等社群服务，同时支持老师和同学之间的聊天、讨论等活动，满足社交化学习需求。
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
