11:01:42 - 開始處理語言: zh-CN (包容關係相容版本)
11:01:42 - 跳過空白替換結果 - 公部門: 注：助教默認可查看課程中的內容，勾選則可進行管理
11:01:42 - 跳過空白替換結果 - 培訓機構: 注：助教默認可查看課程中的內容，勾選則可進行管理
11:01:42 - 調試信息 - 匹配位置: 2-4
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: 學生助教
11:01:42 - 跳過空白替換結果 - 公部門: 學生助教
11:01:42 - 跳過空白替換結果 - 培訓機構: 學生助教
11:01:42 - 調試信息 - 匹配位置: 2-4
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: 設置助教權限
11:01:42 - 跳過空白替換結果 - 公部門: 設置助教權限
11:01:42 - 跳過空白替換結果 - 培訓機構: 設置助教權限
11:01:42 - 調試信息 - 匹配位置: 9-11
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: 邀請機構內人員成為助教
11:01:42 - 跳過空白替換結果 - 公部門: 邀請機構內人員成為助教
11:01:42 - 跳過空白替換結果 - 培訓機構: 邀請機構內人員成為助教
11:01:42 - 調試信息 - 匹配位置: 16-18
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: (限教師與管理者編輯排程，若您是助教，請聯繫課程教師)
11:01:42 - 跳過空白替換結果 - 公部門: (限教師與管理者編輯排程，若您是助教，請聯繫課程教師)
11:01:42 - 跳過空白替換結果 - 培訓機構: (限教師與管理者編輯排程，若您是助教，請聯繫課程教師)
11:01:42 - 調試信息 - 匹配位置: 5-7
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: 課程教師、助教與指定為發布對象的分組或學生，才可查看本公告
11:01:42 - 跳過空白替換結果 - 公部門: 課程教師、助教與指定為發布對象的分組或學生，才可查看本公告
11:01:42 - 跳過空白替換結果 - 培訓機構: 課程教師、助教與指定為發布對象的分組或學生，才可查看本公告
11:01:42 - 調試信息 - 匹配位置: 0-2
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: authz.courseRoleName.assistant
11:01:42 - 跳過空白替換結果 - 公部門: authz.courseRoleName.assistant
11:01:42 - 跳過空白替換結果 - 培訓機構: authz.courseRoleName.assistant
11:01:42 - 調試信息 - 匹配位置: 2-4
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: authz.courseRoleName.studentAssistant
11:01:42 - 跳過空白替換結果 - 公部門: authz.courseRoleName.studentAssistant
11:01:42 - 跳過空白替換結果 - 培訓機構: authz.courseRoleName.studentAssistant
11:01:42 - 調試信息 - 匹配位置: 2-4
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: teachingTeam.courseRoles.student_assistant
11:01:42 - 跳過空白替換結果 - 公部門: teachingTeam.courseRoles.student_assistant
11:01:42 - 跳過空白替換結果 - 培訓機構: teachingTeam.courseRoles.student_assistant
11:01:42 - 調試信息 - 匹配位置: 0-2
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: teachingTeam.courseRoles.instructor_assistant
11:01:42 - 跳過空白替換結果 - 公部門: teachingTeam.courseRoles.instructor_assistant
11:01:42 - 跳過空白替換結果 - 培訓機構: teachingTeam.courseRoles.instructor_assistant
11:01:42 - 調試信息 - 匹配位置: 0-2
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: teachingTeam.professor
11:01:42 - 跳過空白替換結果 - 公部門: teachingTeam.professor
11:01:42 - 跳過空白替換結果 - 培訓機構: teachingTeam.professor
11:01:42 - 調試信息 - 匹配位置: 1-3
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: teachingTeam.associateProfessor
11:01:42 - 跳過空白替換結果 - 公部門: teachingTeam.associateProfessor
11:01:42 - 跳過空白替換結果 - 培訓機構: teachingTeam.associateProfessor
11:01:42 - 調試信息 - 匹配位置: 9-11
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: homework.reviewNotification.emailToInstructorAndAssistantAlso
11:01:42 - 跳過空白替換結果 - 公部門: homework.reviewNotification.emailToInstructorAndAssistantAlso
11:01:42 - 跳過空白替換結果 - 培訓機構: homework.reviewNotification.emailToInstructorAndAssistantAlso
11:01:42 - 調試信息 - 匹配位置: 19-21
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: mailToEnrollmentPopUp.emailToInstructorAndAssistant
11:01:42 - 跳過空白替換結果 - 公部門: mailToEnrollmentPopUp.emailToInstructorAndAssistant
11:01:42 - 跳過空白替換結果 - 培訓機構: mailToEnrollmentPopUp.emailToInstructorAndAssistant
11:01:42 - 調試信息 - 匹配位置: 0-2
11:01:42 - 調試信息 - 敏感詞分類: 時間相關
11:01:42 - 跳過空白替換結果 - 企業: curriculum.academic_year
11:01:42 - 跳過空白替換結果 - 公部門: curriculum.academic_year
11:01:42 - 跳過空白替換結果 - 培訓機構: curriculum.academic_year
11:01:42 - 調試信息 - 匹配位置: 0-2
11:01:42 - 調試信息 - 敏感詞分類: 時間相關
11:01:42 - 跳過空白替換結果 - 企業: studentLearningReport.periodTip
11:01:42 - 跳過空白替換結果 - 公部門: studentLearningReport.periodTip
11:01:42 - 跳過空白替換結果 - 培訓機構: studentLearningReport.periodTip
11:01:42 - 調試信息 - 匹配位置: 0-2
11:01:42 - 調試信息 - 敏感詞分類: 時間相關
11:01:42 - 跳過空白替換結果 - 企業: studentLearningReport.month
11:01:42 - 跳過空白替換結果 - 公部門: studentLearningReport.month
11:01:42 - 跳過空白替換結果 - 培訓機構: studentLearningReport.month
11:01:42 - 調試信息 - 匹配位置: 2-4
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: userSetting.MicrosoftBindPropmt.accountApplyHref
11:01:42 - 跳過空白替換結果 - 公部門: userSetting.MicrosoftBindPropmt.accountApplyHref
11:01:42 - 跳過空白替換結果 - 培訓機構: userSetting.MicrosoftBindPropmt.accountApplyHref
11:01:42 - 調試信息 - 匹配位置: 5-7
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: project.refactor.bulletinTip
11:01:42 - 跳過空白替換結果 - 公部門: project.refactor.bulletinTip
11:01:42 - 跳過空白替換結果 - 培訓機構: project.refactor.bulletinTip
11:01:42 - 調試信息 - 匹配位置: 0-2
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: vtrs.trialTeaching.type
11:01:42 - 跳過空白替換結果 - 公部門: vtrs.trialTeaching.type
11:01:42 - 跳過空白替換結果 - 培訓機構: vtrs.trialTeaching.type
11:01:42 - 調試信息 - 匹配位置: 4-6
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.homePage.flipClassroom.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.homePage.flipClassroom.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.homePage.flipClassroom.description
11:01:42 - 調試信息 - 匹配位置: 27-29
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.homePage.flipClassroom.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.homePage.flipClassroom.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.homePage.flipClassroom.description
11:01:42 - 調試信息 - 匹配位置: 2-4
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.homePage.effectiveTeaching.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.homePage.effectiveTeaching.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.homePage.effectiveTeaching.description
11:01:42 - 調試信息 - 匹配位置: 34-36
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.homePage.effectiveTeaching.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.homePage.effectiveTeaching.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.homePage.effectiveTeaching.description
11:01:42 - 調試信息 - 匹配位置: 22-24
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.homePage.effectiveTeaching.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.homePage.effectiveTeaching.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.homePage.effectiveTeaching.description
11:01:42 - 調試信息 - 匹配位置: 2-4
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.homePage.feedBack.tkuComment
11:01:42 - 跳過空白替換結果 - 公部門: v3.homePage.feedBack.tkuComment
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.homePage.feedBack.tkuComment
11:01:42 - 調試信息 - 匹配位置: 25-27
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.homePage.feedBack.ttuComment
11:01:42 - 跳過空白替換結果 - 公部門: v3.homePage.feedBack.ttuComment
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.homePage.feedBack.ttuComment
11:01:42 - 調試信息 - 匹配位置: 36-38
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.homePage.feedBack.ttuComment
11:01:42 - 跳過空白替換結果 - 公部門: v3.homePage.feedBack.ttuComment
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.homePage.feedBack.ttuComment
11:01:42 - 調試信息 - 匹配位置: 31-33
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.blendedLearningPlatform.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.blendedLearningPlatform.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.blendedLearningPlatform.description
11:01:42 - 調試信息 - 匹配位置: 43-45
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.blendedLearningPlatform.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.blendedLearningPlatform.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.blendedLearningPlatform.description
11:01:42 - 調試信息 - 匹配位置: 1-3
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.richResources.title
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.richResources.title
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.richResources.title
11:01:42 - 調試信息 - 匹配位置: 0-2
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.richResources.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.richResources.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.richResources.description
11:01:42 - 調試信息 - 匹配位置: 49-51
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.manageVideo.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.manageVideo.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.manageVideo.description
11:01:42 - 調試信息 - 匹配位置: 73-75
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.manageVideo.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.manageVideo.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.manageVideo.description
11:01:42 - 調試信息 - 匹配位置: 0-2
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.manageVideo.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.manageVideo.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.manageVideo.description
11:01:42 - 調試信息 - 匹配位置: 42-44
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.manageVideo.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.manageVideo.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.manageVideo.description
11:01:42 - 調試信息 - 匹配位置: 26-28
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.onlineQuiz.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.onlineQuiz.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.onlineQuiz.description
11:01:42 - 調試信息 - 匹配位置: 65-67
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.onlineQuiz.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.onlineQuiz.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.onlineQuiz.description
11:01:42 - 調試信息 - 匹配位置: 14-16
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.onlineQuiz.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.onlineQuiz.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.onlineQuiz.description
11:01:42 - 調試信息 - 匹配位置: 45-47
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.onlineQuiz.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.onlineQuiz.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.onlineQuiz.description
11:01:42 - 調試信息 - 匹配位置: 91-93
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.omoSyncClass.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.omoSyncClass.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.omoSyncClass.description
11:01:42 - 調試信息 - 匹配位置: 16-18
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.description
11:01:42 - 調試信息 - 匹配位置: 48-50
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.description
11:01:42 - 調試信息 - 匹配位置: 61-63
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.description
11:01:42 - 調試信息 - 匹配位置: 3-5
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.description
11:01:42 - 調試信息 - 匹配位置: 41-43
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.description
11:01:42 - 調試信息 - 匹配位置: 11-13
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.inClassQuizText
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.inClassQuizText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.inClassQuizText
11:01:42 - 調試信息 - 匹配位置: 19-21
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.inClassQuizText
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.inClassQuizText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.inClassQuizText
11:01:42 - 調試信息 - 匹配位置: 41-43
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.inClassQuizText
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.inClassQuizText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.inClassQuizText
11:01:42 - 調試信息 - 匹配位置: 28-30
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.inClassQuizText
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.inClassQuizText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.inClassQuizText
11:01:42 - 調試信息 - 匹配位置: 29-31
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.groupLearningText
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.groupLearningText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.groupLearningText
11:01:42 - 調試信息 - 匹配位置: 38-40
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.groupLearningText
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.groupLearningText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.groupLearningText
11:01:42 - 調試信息 - 匹配位置: 16-18
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.groupLearningText
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.groupLearningText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.groupLearningText
11:01:42 - 調試信息 - 匹配位置: 7-9
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.groupLearningText
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.groupLearningText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.groupLearningText
11:01:42 - 調試信息 - 匹配位置: 16-18
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.diverseMaterial.oneStepManagementText
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.diverseMaterial.oneStepManagementText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.diverseMaterial.oneStepManagementText
11:01:42 - 調試信息 - 匹配位置: 32-34
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.diverseMaterial.oneStepManagementText
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.diverseMaterial.oneStepManagementText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.diverseMaterial.oneStepManagementText
11:01:42 - 調試信息 - 匹配位置: 0-2
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.diverseMaterial.oneStepManagementText
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.diverseMaterial.oneStepManagementText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.diverseMaterial.oneStepManagementText
11:01:42 - 調試信息 - 匹配位置: 32-34
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.diverseMaterial.autoEvaluateText
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.diverseMaterial.autoEvaluateText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.diverseMaterial.autoEvaluateText
11:01:42 - 調試信息 - 匹配位置: 34-36
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.diverseMaterial.gradeManagementText
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.diverseMaterial.gradeManagementText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.diverseMaterial.gradeManagementText
11:01:42 - 調試信息 - 匹配位置: 2-4
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.diverseMaterial.viewTeachingEffectsText
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.diverseMaterial.viewTeachingEffectsText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.diverseMaterial.viewTeachingEffectsText
11:01:42 - 調試信息 - 匹配位置: 34-36
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.diverseMaterial.viewTeachingEffectsText
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.diverseMaterial.viewTeachingEffectsText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.diverseMaterial.viewTeachingEffectsText
11:01:42 - 調試信息 - 匹配位置: 22-24
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.diverseMaterial.viewTeachingEffectsText
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.diverseMaterial.viewTeachingEffectsText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.diverseMaterial.viewTeachingEffectsText
11:01:42 - 調試信息 - 匹配位置: 0-2
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.moreFeature.classManagement
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.moreFeature.classManagement
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.moreFeature.classManagement
11:01:42 - 調試信息 - 匹配位置: 15-17
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.onCampusOpenCourse.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.onCampusOpenCourse.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.onCampusOpenCourse.description
11:01:42 - 調試信息 - 匹配位置: 2-4
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.onCampusOpenCourse.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.onCampusOpenCourse.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.onCampusOpenCourse.description
11:01:42 - 調試信息 - 匹配位置: 26-28
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.useCases.OpenCourse.description
11:01:42 - 跳過空白替換結果 - 公部門: v3.useCases.OpenCourse.description
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.useCases.OpenCourse.description
11:01:42 - 調試信息 - 匹配位置: 41-43
