19:00:43 - 開始處理語言: zh-CN
19:00:43 - 目標業態: enterprises, public_sector, training_institutions
19:00:43 - 跳過空白替換結果 - 企業: teachingTeam.courseRoles.instructor_assistant
19:00:43 - 跳過空白替換結果 - 公部門: teachingTeam.courseRoles.instructor_assistant
19:00:43 - 跳過空白替換結果 - 培訓機構: teachingTeam.courseRoles.instructor_assistant
19:00:43 - 跳過空白替換結果 - 企業: teachingTeam.professor
19:00:43 - 跳過空白替換結果 - 公部門: teachingTeam.professor
19:00:43 - 跳過空白替換結果 - 培訓機構: teachingTeam.professor
19:00:43 - 跳過空白替換結果 - 企業: teachingTeam.associateProfessor
19:00:43 - 跳過空白替換結果 - 公部門: teachingTeam.associateProfessor
19:00:43 - 跳過空白替換結果 - 培訓機構: teachingTeam.associateProfessor
19:00:43 - 跳過空白替換結果 - 企業: homework.reviewNotification.emailToInstructorAndAssistantAlso
19:00:43 - 跳過空白替換結果 - 公部門: homework.reviewNotification.emailToInstructorAndAssistantAlso
19:00:43 - 跳過空白替換結果 - 培訓機構: homework.reviewNotification.emailToInstructorAndAssistantAlso
19:00:43 - 跳過空白替換結果 - 企業: mailToEnrollmentPopUp.emailToInstructorAndAssistant
19:00:43 - 跳過空白替換結果 - 公部門: mailToEnrollmentPopUp.emailToInstructorAndAssistant
19:00:43 - 跳過空白替換結果 - 培訓機構: mailToEnrollmentPopUp.emailToInstructorAndAssistant
19:00:43 - 跳過空白替換結果 - 企業: curriculum.academic_year
19:00:43 - 跳過空白替換結果 - 公部門: curriculum.academic_year
19:00:43 - 跳過空白替換結果 - 培訓機構: curriculum.academic_year
19:00:43 - 跳過空白替換結果 - 企業: studentLearningReport.periodTip
19:00:43 - 跳過空白替換結果 - 公部門: studentLearningReport.periodTip
19:00:43 - 跳過空白替換結果 - 培訓機構: studentLearningReport.periodTip
19:00:43 - 跳過空白替換結果 - 企業: studentLearningReport.month
19:00:43 - 跳過空白替換結果 - 公部門: studentLearningReport.month
19:00:43 - 跳過空白替換結果 - 培訓機構: studentLearningReport.month
19:00:43 - 跳過空白替換結果 - 企業: userSetting.MicrosoftBindPropmt.accountApplyHref
19:00:43 - 跳過空白替換結果 - 公部門: userSetting.MicrosoftBindPropmt.accountApplyHref
19:00:43 - 跳過空白替換結果 - 培訓機構: userSetting.MicrosoftBindPropmt.accountApplyHref
19:00:43 - 跳過空白替換結果 - 企業: project.refactor.bulletinTip
19:00:43 - 跳過空白替換結果 - 公部門: project.refactor.bulletinTip
19:00:43 - 跳過空白替換結果 - 培訓機構: project.refactor.bulletinTip
19:00:43 - 跳過空白替換結果 - 企業: vtrs.trialTeaching.type
19:00:43 - 跳過空白替換結果 - 公部門: vtrs.trialTeaching.type
19:00:43 - 跳過空白替換結果 - 培訓機構: vtrs.trialTeaching.type
19:00:43 - 跳過空白替換結果 - 企業: v3.homePage.flipClassroom.description
19:00:43 - 跳過空白替換結果 - 公部門: v3.homePage.flipClassroom.description
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.homePage.flipClassroom.description
19:00:43 - 跳過空白替換結果 - 企業: v3.homePage.effectiveTeaching.description
19:00:43 - 跳過空白替換結果 - 公部門: v3.homePage.effectiveTeaching.description
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.homePage.effectiveTeaching.description
19:00:43 - 跳過空白替換結果 - 企業: v3.homePage.effectiveTeaching.description
19:00:43 - 跳過空白替換結果 - 公部門: v3.homePage.effectiveTeaching.description
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.homePage.effectiveTeaching.description
19:00:43 - 跳過空白替換結果 - 企業: v3.homePage.feedBack.tkuComment
19:00:43 - 跳過空白替換結果 - 公部門: v3.homePage.feedBack.tkuComment
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.homePage.feedBack.tkuComment
19:00:43 - 跳過空白替換結果 - 企業: v3.homePage.feedBack.ttuComment
19:00:43 - 跳過空白替換結果 - 公部門: v3.homePage.feedBack.ttuComment
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.homePage.feedBack.ttuComment
19:00:43 - 跳過空白替換結果 - 企業: v3.homePage.feedBack.ttuComment
19:00:43 - 跳過空白替換結果 - 公部門: v3.homePage.feedBack.ttuComment
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.homePage.feedBack.ttuComment
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.blendedLearningPlatform.description
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.blendedLearningPlatform.description
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.blendedLearningPlatform.description
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.richResources.title
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.richResources.title
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.richResources.title
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.richResources.description
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.richResources.description
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.richResources.description
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.manageVideo.description
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.manageVideo.description
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.manageVideo.description
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.manageVideo.description
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.manageVideo.description
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.manageVideo.description
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.onlineQuiz.description
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.onlineQuiz.description
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.onlineQuiz.description
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.onlineQuiz.description
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.onlineQuiz.description
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.onlineQuiz.description
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.omoSyncClass.description
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.omoSyncClass.description
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.omoSyncClass.description
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.description
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.description
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.description
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.description
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.description
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.description
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.inClassQuizText
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.inClassQuizText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.inClassQuizText
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.inClassQuizText
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.inClassQuizText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.inClassQuizText
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.inClassQuizText
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.inClassQuizText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.inClassQuizText
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.groupLearningText
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.groupLearningText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.groupLearningText
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.groupLearningText
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.groupLearningText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.groupLearningText
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.interactiveClassroom.groupLearningText
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.interactiveClassroom.groupLearningText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.interactiveClassroom.groupLearningText
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.diverseMaterial.oneStepManagementText
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.diverseMaterial.oneStepManagementText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.diverseMaterial.oneStepManagementText
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.diverseMaterial.oneStepManagementText
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.diverseMaterial.oneStepManagementText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.diverseMaterial.oneStepManagementText
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.diverseMaterial.autoEvaluateText
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.diverseMaterial.autoEvaluateText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.diverseMaterial.autoEvaluateText
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.diverseMaterial.gradeManagementText
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.diverseMaterial.gradeManagementText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.diverseMaterial.gradeManagementText
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.diverseMaterial.viewTeachingEffectsText
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.diverseMaterial.viewTeachingEffectsText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.diverseMaterial.viewTeachingEffectsText
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.diverseMaterial.viewTeachingEffectsText
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.diverseMaterial.viewTeachingEffectsText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.diverseMaterial.viewTeachingEffectsText
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.moreFeature.classManagement
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.moreFeature.classManagement
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.moreFeature.classManagement
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.onCampusOpenCourse.description
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.onCampusOpenCourse.description
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.onCampusOpenCourse.description
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.onCampusOpenCourse.description
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.onCampusOpenCourse.description
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.onCampusOpenCourse.description
19:00:43 - 跳過空白替換結果 - 企業: v3.useCases.OpenCourse.description
19:00:43 - 跳過空白替換結果 - 公部門: v3.useCases.OpenCourse.description
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.useCases.OpenCourse.description
19:00:43 - 跳過空白替換結果 - 企業: v3.app.storiesText
19:00:43 - 跳過空白替換結果 - 公部門: v3.app.storiesText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.app.storiesText
19:00:43 - 跳過空白替換結果 - 企業: v3.app.interactionText
19:00:43 - 跳過空白替換結果 - 公部門: v3.app.interactionText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.app.interactionText
19:00:43 - 跳過空白替換結果 - 企業: v3.app.discussionText
19:00:43 - 跳過空白替換結果 - 公部門: v3.app.discussionText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.app.discussionText
19:00:43 - 跳過空白替換結果 - 企業: v3.app.assignmentMgtText
19:00:43 - 跳過空白替換結果 - 公部門: v3.app.assignmentMgtText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.app.assignmentMgtText
19:00:43 - 跳過空白替換結果 - 企業: v3.app.assignmentMgtText
19:00:43 - 跳過空白替換結果 - 公部門: v3.app.assignmentMgtText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.app.assignmentMgtText
19:00:43 - 跳過空白替換結果 - 企業: v3.app.assessmentMgtText
19:00:43 - 跳過空白替換結果 - 公部門: v3.app.assessmentMgtText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.app.assessmentMgtText
19:00:43 - 跳過空白替換結果 - 企業: v3.app.assessmentMgtText
19:00:43 - 跳過空白替換結果 - 公部門: v3.app.assessmentMgtText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.app.assessmentMgtText
19:00:43 - 跳過空白替換結果 - 企業: v3.app.analyticText
19:00:43 - 跳過空白替換結果 - 公部門: v3.app.analyticText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.app.analyticText
19:00:43 - 跳過空白替換結果 - 企業: v3.app.analyticText
19:00:43 - 跳過空白替換結果 - 公部門: v3.app.analyticText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.app.analyticText
19:00:43 - 跳過空白替換結果 - 企業: v3.corporateTraining.useTronClass.inClassModuleText
19:00:43 - 跳過空白替換結果 - 公部門: v3.corporateTraining.useTronClass.inClassModuleText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.corporateTraining.useTronClass.inClassModuleText
19:00:43 - 跳過空白替換結果 - 企業: v3.corporateTraining.useTronClass.videoIntegrationText
19:00:43 - 跳過空白替換結果 - 公部門: v3.corporateTraining.useTronClass.videoIntegrationText
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.corporateTraining.useTronClass.videoIntegrationText
19:00:43 - 跳過空白替換結果 - 企業: v3.tcVersion.personal.studentPerCourse
19:00:43 - 跳過空白替換結果 - 公部門: v3.tcVersion.personal.studentPerCourse
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.tcVersion.personal.studentPerCourse
19:00:43 - 跳過空白替換結果 - 企業: v3.tcVersion.campus.moreSpace
19:00:43 - 跳過空白替換結果 - 公部門: v3.tcVersion.campus.moreSpace
19:00:43 - 跳過空白替換結果 - 培訓機構: v3.tcVersion.campus.moreSpace
19:00:43 - 跳過空白替換結果 - 企業: air.aiAssistantUse
19:00:43 - 跳過空白替換結果 - 公部門: air.aiAssistantUse
19:00:43 - 跳過空白替換結果 - 培訓機構: air.aiAssistantUse
19:00:43 - 跳過空白替換結果 - 企業: attendanceAnalysis.administrativeClass
19:00:43 - 跳過空白替換結果 - 公部門: attendanceAnalysis.administrativeClass
19:00:43 - 跳過空白替換結果 - 培訓機構: attendanceAnalysis.administrativeClass
19:00:43 - 跳過空白替換結果 - 企業: courseNavigation.instructor
19:00:43 - 跳過空白替換結果 - 公部門: courseNavigation.instructor
19:00:43 - 跳過空白替換結果 - 培訓機構: courseNavigation.instructor
19:00:43 - 跳過空白替換結果 - 企業: courseNavigation.student
19:00:43 - 跳過空白替換結果 - 公部門: courseNavigation.student
19:00:43 - 跳過空白替換結果 - 培訓機構: courseNavigation.student
19:00:43 - 解析完成統計: {'total_rows': 76}
19:00:43 - 開始處理業態: 企業
19:00:43 - 企業 處理完成: 總更新 0 個
19:00:43 - 開始處理業態: 公部門
19:00:43 - 公部門 處理完成: 總更新 0 個
19:00:43 - 開始處理業態: 培訓機構
19:00:43 - 培訓機構 處理完成: 總更新 0 個
19:00:43 - 語言 zh-CN 處理完成: 成功 3/3 個業態
19:00:43 - 摘要報告已生成：i18n_output/zh-CN_20250611_190043/processing_summary_20250611_190043.txt
